Tm,Year,NumGames,TotalWins,HomeWins,WinPct,First_3L_Streak,First_4L_Streak
MIN,2019,94,58,28,0.623655914,94,NA
PIT,1902,142,103,56,0.725352113,NA,NA
MIL,1884,12,8,8,0.666666667,NA,NA
CIN,1882,80,55,31,0.6875,NA,NA
BOS,1875,82,71,37,0.865853659,NA,NA
MAR,1873,6,0,0,0,NA,NA
BOS,1872,48,39,20,0.8125,NA,NA
NAT,1872,11,0,0,0,NA,NA
ATH,1871,28,21,11,0.75,NA,NA
SEA,2001,162,116,57,0.716049383,149,150
NYG,1904,158,106,56,0.670886076,141,152
NYY,1954,155,103,54,0.664516129,124,NA
PHA,1929,151,104,57,0.688741722,120,121
CHC,1885,113,87,42,0.769911504,113,NA
NYG,1885,112,85,51,0.758928571,107,NA
LAD,2009,162,95,50,0.586419753,100,101
NYY,1928,154,101,52,0.655844156,100,NA
STL,1891,139,85,52,0.611510791,99,NA
SLM,1884,114,94,49,0.824561404,98,99
PIT,1929,154,88,45,0.571428571,95,114
NYG,1937,152,95,50,0.625,92,93
NYY,1936,155,102,56,0.658064516,90,NA
CIN,1970,162,102,57,0.62962963,85,150
WSH,1925,152,96,53,0.631578947,83,121
NYG,1905,155,105,54,0.677419355,81,98
PHA,1913,153,96,50,0.62745098,80,148
PIT,1903,141,91,46,0.645390071,79,138
NYM,2006,162,97,50,0.598765432,78,79
NYG,1935,156,91,50,0.583333333,78,84
CIN,1976,162,102,49,0.62962963,77,120
BAL,1997,162,98,46,0.604938272,76,77
NYY,2018,162,100,53,0.617283951,75,109
TOR,1987,162,96,52,0.592592593,75,76
CIN,1978,161,92,49,0.571428571,75,76
BSN,1884,116,73,40,0.629310345,75,76
LAD,1965,162,97,50,0.598765432,74,99
CHC,2008,161,97,55,0.602484472,73,82
NYY,1939,152,106,52,0.697368421,73,74
DET,1909,158,98,57,0.620253165,72,73
BRO,1888,143,88,53,0.615384615,72,100
BSN,1894,133,83,44,0.62406015,71,NA
CHC,1886,126,90,52,0.714285714,70,71
OAK,1989,162,99,54,0.611111111,68,69
CHW,1904,156,89,50,0.570512821,68,77
LAD,1983,163,91,48,0.558282209,67,68
TEX,1981,105,57,32,0.542857143,67,82
BSN,1947,154,86,50,0.558441558,67,NA
PHA,1925,153,88,51,0.575163399,67,112
ANA,2000,162,82,46,0.50617284,66,111
ATL,1997,162,101,50,0.62345679,66,67
CIN,1890,134,77,50,0.574626866,66,67
PHI,1993,162,97,52,0.598765432,65,92
NYY,1927,155,110,57,0.709677419,65,120
PRO,1883,98,58,34,0.591836735,64,65
BRO,1899,150,101,61,0.673333333,63,64
KCR,1976,162,90,49,0.555555556,62,63
SFG,1959,154,83,42,0.538961039,62,100
NYY,1953,151,99,50,0.655629139,62,63
DET,1910,155,86,46,0.55483871,62,63
CHC,1907,155,107,54,0.690322581,62,63
CLV,1883,100,55,31,0.55,62,63
BOS,2002,162,93,42,0.574074074,60,73
CHC,1987,161,76,40,0.472049689,60,61
HOU,1985,162,83,44,0.512345679,60,89
CHC,1915,156,73,42,0.467948718,60,75
BAL,1986,162,73,37,0.450617284,59,64
MIN,1970,162,98,51,0.604938272,59,111
NYY,1942,154,103,58,0.668831169,59,60
CHW,1908,156,88,51,0.564102564,59,60
SDP,1996,162,91,45,0.561728395,58,63
CAL,1995,145,78,39,0.537931034,58,115
NYY,1955,154,96,52,0.623376623,58,80
BRO,1890,129,86,58,0.666666667,58,117
BOS,2007,162,96,51,0.592592593,57,58
NYM,2007,162,88,41,0.543209877,57,58
CHW,1994,113,67,34,0.592920354,57,58
CHC,1985,162,77,41,0.475308642,57,58
DET,1921,154,71,37,0.461038961,57,58
CLE,1913,155,86,45,0.55483871,57,68
PHA,1890,132,54,36,0.409090909,57,66
ATL,1998,162,106,56,0.654320988,56,57
BOS,1986,161,95,51,0.590062112,56,94
SFG,1960,156,79,45,0.506410256,56,57
DET,1950,157,95,50,0.605095541,56,151
CIN,1940,155,100,55,0.64516129,56,NA
NYG,1903,142,84,41,0.591549296,56,76
STL,2014,162,90,51,0.555555556,55,102
PIT,1956,157,66,35,0.420382166,55,56
NYY,1946,154,87,47,0.564935065,55,83
BOS,1904,157,95,49,0.605095541,55,56
BRO,1900,142,82,43,0.577464789,55,127
PHI,1900,141,75,45,0.531914894,55,60
SFG,1971,162,90,51,0.555555556,54,55
BOS,1946,156,104,61,0.666666667,54,59
PHA,1903,137,75,44,0.547445255,54,96
DTN,1886,126,87,49,0.69047619,54,78
TEX,2005,162,79,44,0.487654321,53,59
BOS,2003,162,95,53,0.586419753,53,54
BRO,1943,153,81,46,0.529411765,53,54
NYY,1910,156,88,49,0.564102564,53,54
BSN,1878,60,41,23,0.683333333,53,NA
TEX,2013,163,91,46,0.558282209,52,67
CLE,1995,144,100,54,0.694444444,52,53
NYY,1950,155,98,53,0.632258065,52,61
STL,1943,157,105,58,0.668789809,52,79
NYY,1933,152,91,51,0.598684211,52,53
CIN,1928,153,78,44,0.509803922,52,62
CHC,1904,156,93,49,0.596153846,52,64
CIN,1904,157,88,49,0.560509554,52,62
BSN,1892,152,102,54,0.671052632,52,100
NYY,2013,162,85,46,0.524691358,51,52
SDP,1998,162,98,54,0.604938272,51,155
MLN,1959,157,86,49,0.547770701,51,86
STL,1885,112,79,44,0.705357143,51,52
CHC,1876,66,52,25,0.787878788,51,NA
ATH,1874,55,33,21,0.6,51,NA
LAD,2012,162,86,45,0.530864198,50,51
DET,1993,162,85,44,0.524691358,50,72
CHC,1880,86,67,37,0.779069767,50,NA
BAL,2005,162,74,36,0.456790123,49,74
CLE,1940,155,89,51,0.574193548,49,81
CLE,1905,155,76,41,0.490322581,49,50
CLE,1999,162,97,47,0.598765432,48,92
CIN,1990,162,91,46,0.561728395,48,53
NYM,1972,156,83,41,0.532051282,48,NA
SFG,1968,163,88,42,0.539877301,48,NA
CHW,1912,158,78,34,0.493670886,48,49
LAD,1977,162,98,51,0.604938272,47,48
CLE,1955,154,93,49,0.603896104,47,52
WSH,1914,158,81,40,0.512658228,47,48
PHI,2008,162,92,48,0.567901235,46,76
CHC,2004,162,89,45,0.549382716,46,47
MIN,2001,162,85,47,0.524691358,46,67
PHI,1976,162,101,53,0.62345679,46,77
STL,1931,154,101,54,0.655844156,46,64
PHI,1894,132,71,48,0.537878788,46,47
PHI,1890,133,78,54,0.586466165,46,47
BSN,1889,133,83,48,0.62406015,46,NA
BAL,1884,108,63,42,0.583333333,46,47
ATH,1872,47,30,22,0.638297872,46,NA
KCR,2015,162,95,51,0.586419753,45,46
CHC,2003,162,88,44,0.543209877,45,79
CAL,1985,162,90,49,0.555555556,45,98
NYY,1976,159,97,45,0.610062893,45,46
CAL,1970,162,86,43,0.530864198,45,61
NYY,1956,154,97,49,0.62987013,45,46
NYY,1916,156,80,46,0.512820513,45,46
CHW,1907,157,87,48,0.554140127,45,85
BSN,1887,127,61,38,0.480314961,45,72
PIT,1885,111,56,37,0.504504505,45,46
CHC,1881,84,56,32,0.666666667,45,46
BOS,1874,71,52,26,0.732394366,45,NA
TOR,2009,162,75,44,0.462962963,44,45
